id,n_items,total_weight,n_even,n_odd,even_ratio,pattern_eoe,pattern_oeo,pattern_eee,pattern_ooo,opt_bins,waste_pct,solve_time_ms
273,11,385,6,5,0.5454545454545454,1,0,1,1,4,3.75,0.015974044799804688
274,11,428,5,6,0.45454545454545453,1,1,0,0,5,14.399999999999999,0.0209808349609375
275,11,509,10,1,0.9090909090909091,1,0,1,0,6,15.166666666666668,0.018835067749023438
276,15,570,7,8,0.4666666666666667,0,1,1,1,6,5.0,0.023126602172851562
277,14,656,6,8,0.42857142857142855,1,1,1,1,8,18.0,0.028848648071289062
278,13,504,9,4,0.6923076923076923,1,0,1,1,6,16.0,0.02002716064453125
279,11,481,4,7,0.36363636363636365,0,1,1,1,5,3.8,0.015735626220703125
280,13,454,5,8,0.38461538461538464,1,1,1,1,5,9.2,0.018835067749023438
281,12,435,7,5,0.5833333333333334,1,1,1,0,5,13.0,0.01811981201171875
282,10,427,5,5,0.5,0,1,1,0,5,14.6,0.016927719116210938
283,12,518,6,6,0.5,1,1,1,0,6,13.666666666666666,0.02384185791015625
284,11,470,5,6,0.45454545454545453,0,0,0,0,5,6.0,0.018835067749023438
285,13,519,6,7,0.46153846153846156,1,1,0,1,6,13.5,0.02002716064453125
286,15,604,9,6,0.6,1,1,1,0,7,13.714285714285715,0.02574920654296875
287,10,395,5,5,0.5,0,1,1,1,5,21.0,0.014066696166992188
288,12,509,5,7,0.4166666666666667,1,1,0,1,6,15.166666666666668,0.016927719116210938
289,13,550,9,4,0.6923076923076923,1,1,1,0,6,8.333333333333332,0.024080276489257812
290,13,591,8,5,0.6153846153846154,1,1,1,0,8,26.125,0.028133392333984375
291,15,474,9,6,0.6,1,1,0,0,5,5.2,0.0209808349609375
292,12,504,6,6,0.5,0,1,1,1,6,16.0,0.047206878662109375
293,14,522,8,6,0.5714285714285714,1,1,1,1,6,13.0,0.023126602172851562
294,13,521,6,7,0.46153846153846156,0,1,1,1,6,13.166666666666666,0.02384185791015625
295,12,463,5,7,0.4166666666666667,0,1,1,1,5,7.3999999999999995,0.0171661376953125
296,11,474,5,6,0.45454545454545453,0,0,1,1,7,32.285714285714285,0.026226043701171875
297,13,457,8,5,0.6153846153846154,1,1,1,0,5,8.6,0.019311904907226562
298,15,706,9,6,0.6,1,1,1,0,9,21.555555555555557,0.03504753112792969
299,14,553,7,7,0.5,0,0,1,1,6,7.833333333333334,0.02384185791015625
300,12,484,4,8,0.3333333333333333,0,1,1,1,6,19.333333333333332,0.0400543212890625
301,11,507,6,5,0.5454545454545454,0,1,1,0,6,15.5,0.01811981201171875
302,15,532,9,6,0.6,1,1,1,0,6,11.333333333333332,0.025987625122070312
303,14,563,7,7,0.5,1,1,0,0,6,6.166666666666667,0.024080276489257812
304,14,585,5,9,0.35714285714285715,0,1,1,1,7,16.428571428571427,0.023126602172851562
305,15,478,7,8,0.4666666666666667,1,1,1,1,6,20.333333333333332,0.023126602172851562
306,10,325,5,5,0.5,0,0,1,1,4,18.75,0.013828277587890625
307,13,436,7,6,0.5384615384615384,0,0,1,1,5,12.8,0.02002716064453125
308,12,516,6,6,0.5,1,1,1,1,6,14.000000000000002,0.022172927856445312
309,11,358,5,6,0.45454545454545453,0,1,1,1,4,10.5,0.015974044799804688
310,11,336,7,4,0.6363636363636364,1,1,1,1,4,16.0,0.014066696166992188
311,11,378,7,4,0.6363636363636364,1,1,1,1,4,5.5,0.015974044799804688
312,13,629,4,9,0.3076923076923077,1,1,0,1,7,10.142857142857142,0.026941299438476562
313,15,560,11,4,0.7333333333333333,1,0,1,0,6,6.666666666666667,0.02288818359375
314,15,635,8,7,0.5333333333333333,1,1,1,1,7,9.285714285714286,0.02193450927734375
315,11,515,4,7,0.36363636363636365,1,1,0,1,6,14.166666666666666,0.01811981201171875
316,15,675,10,5,0.6666666666666666,1,1,1,0,8,15.625,0.03266334533691406
